SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,4880 NW 22nd St #108,Lauderhill,FL,33313,185000,2,2.0,CASTLE APARTMENTS 2 CONDO,957,,1970,2,193,416,Active,,,https://www.redfin.com/FL/Lauderhill/4880-NW-22nd-St-33313/unit-108/home/41595463,MARMLS,A11438887,N,Y,26.1536108,-80.216402
MLS Listing,,Single Family Residential,3050 NE 8th Ave,Pompano Beach,FL,33064,390000,2,1.0,Cresthaven No 11,1216,6493,1966,2,321,,Active,,,https://www.redfin.com/FL/Pompano-Beach/3050-NE-8th-Ave-33064/home/41494767,Beaches MLS,F10396116,N,Y,26.2693552,-80.1119529
MLS Listing,,Single Family Residential,160 NW 46th Ct,Oakland Park,FL,33309,525000,3,2.0,NORTH ANDREWS GARDENS,994,5502,1958,2,528,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/160-NW-46th-Ct-33309/home/41655804,MARMLS,A11437838,N,Y,26.1840425,-80.148062
MLS Listing,,Single Family Residential,129 NE 2nd Ave,Dania,FL,33004,529000,3,2.0,Spar-rich Resub Of Blks 2,1806,7800,1955,2,293,,Active,,,https://www.redfin.com/FL/Dania-Beach/129-NE-2nd-Ave-33004/home/41822764,Beaches MLS,F10395830,N,Y,26.0554696,-80.1414969
MLS Listing,,Single Family Residential,9412 SW 36th St,Miami,FL,33165,850000,4,2.0,CENTRAL HEIGHTS,2226,7140,1954,2,382,,Active,,,https://www.redfin.com/FL/Miami/9412-SW-36th-St-33165/home/43070763,MARMLS,A11438698,N,Y,25.7361509,-80.3482013
MLS Listing,,Condo/Co-op,601 N Fort Lauderdale Beach Blvd #1116,Fort Lauderdale,FL,33304,525000,1,1.0,The Atlantic Hotel Condo,465,,2004,2,1129,20,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/601-N-Fort-Lauderdale-Beach-Blvd-33304/unit-1116/home/42014875,Beaches MLS,F10395976,N,Y,26.1315915,-80.1038594
MLS Listing,,Condo/Co-op,1005 S 17th Ave #12,Hollywood,FL,33020,210000,1,1.0,Garden Terrace Co-op,,,1963,2,,300,Active,,,https://www.redfin.com/FL/Hollywood/1005-S-17th-Ave-33020/unit-12/home/41953045,Beaches MLS,F10396121,N,Y,26.0030242,-80.1405468
MLS Listing,,Condo/Co-op,896 N Federal Hwy #521,Lantana,FL,33462,289900,2,2.0,Hidden Harbour OF The Palm Beaches Condo,1025,,1985,2,283,649,Active,,,https://www.redfin.com/FL/Lantana/896-N-Federal-Hwy-33462/unit-521/home/42429763,Beaches MLS,RX-10913087,N,Y,26.5935979,-80.0491621
MLS Listing,,Condo/Co-op,198 NW 67th St #304,Boca Raton,FL,33487,375000,3,2.0,Boca Teeca,1316,,1980,2,285,811,Active,,,https://www.redfin.com/FL/Boca-Raton/198-NW-67th-St-33487/unit-304/home/186921369,Beaches MLS,RX-10913086,N,Y,26.4091584,-80.0818344
MLS Listing,,Single Family Residential,1012 SW 5th Pl,Fort Lauderdale,FL,33312,1599000,3,2.0,Riverside Add Amen Plat,2089,7456,1941,2,765,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/1012-SW-5th-Pl-33312/home/41797281,Beaches MLS,RX-10913084,N,Y,26.1144927,-80.154774
